NKP,20190218,0.085,0.086,0.085,0.086,30000
NML,20190218,0.09,0.094,0.087,0.087,2084028
NMT,20190218,0.205,0.21,0.2,0.21,157078
NNW,20190218,0.115,0.115,0.115,0.115,34673
NOR,20190218,0.004,0.004,0.003,0.003,19754063
NOV,20190218,0.24,0.255,0.24,0.245,284529
NOX,20190218,0.4,0.43,0.4,0.42,54224
NSC,20190218,0.7,0.7,0.69,0.69,164038
NSR,20190218,1.89,1.895,1.86,1.885,1189486
NST,20190218,9.75,9.97,9.68,9.73,3141761
NTC,20190218,0.73,0.75,0.72,0.735,220352
NTD,20190218,0.47,0.495,0.47,0.47,526094
NTM,20190218,0.037,0.037,0.037,0.037,30555
88E,20190218,0.019,0.019,0.018,0.019,9178772
NTU,20190218,0.047,0.049,0.045,0.045,2865216
NUF,20190218,5.57,5.57,5.405,5.42,1324175
NUH,20190218,0.078,0.08,0.078,0.078,749244
NUS,20190218,0.23,0.23,0.23,0.23,2944
NVA,20190218,0.019,0.019,0.018,0.018,300000
NVL,20190218,1.855,1.92,1.855,1.91,24671
NVT,20190218,5.66,5.67,5.63,5.64,278918
NVU,20190218,0.095,0.096,0.095,0.095,77845
NVX,20190218,0.38,0.39,0.38,0.39,38320
NWC,20190218,0.012,0.012,0.01,0.01,482428
NWE,20190218,0.003,0.003,0.003,0.003,66682
NWF,20190218,0.18,0.18,0.18,0.18,25000
NWH,20190218,2.05,2.09,2.02,2.08,1840396
NWL,20190218,7.2,7.505,6.94,7.49,426184
NWS,20190218,18.06,18.27,17.99,18.24,147790
NXE,20190218,0.029,0.031,0.029,0.03,412134
NXT,20190218,6.98,7.15,6.95,7.14,1456299
NZM,20190218,0.495,0.505,0.472,0.5,236529
OBJ,20190218,0.018,0.018,0.017,0.018,408142
OCA,20190218,1.05,1.05,1.05,1.05,50000
OCC,20190218,0.15,0.15,0.13,0.135,330262
OCL,20190218,2.53,2.53,2.52,2.52,1791
ODA,20190218,0.15,0.15,0.15,0.15,33709
ODY,20190218,0.05,0.05,0.05,0.05,1082190
OEC,20190218,0.38,0.38,0.38,0.38,300
OEL,20190218,0.066,0.067,0.064,0.066,2597185
OEX,20190218,0.005,0.005,0.005,0.005,108500
OFX,20190218,1.79,1.82,1.77,1.795,135970
OGA,20190218,0.15,0.15,0.15,0.15,54000
OGC,20190218,4.45,4.58,4.44,4.56,322425
OGX,20190218,0.006,0.006,0.005,0.005,5305550
OKU,20190218,0.245,0.245,0.24,0.245,158408
OLI,20190218,0.031,0.032,0.031,0.031,266905
OMH,20190218,1.4,1.4,1.385,1.39,42487
OML,20190218,3.98,4.04,3.925,3.98,1075737
OMN,20190218,0.675,0.7,0.675,0.7,171608
ONE,20190218,0.485,0.485,0.485,0.485,100
ONX,20190218,0.16,0.16,0.15,0.15,307386
OOK,20190218,0.021,0.023,0.021,0.021,2106501
OOO,20190218,15.76,15.76,15.63,15.7,54203
OPH,20190218,2.48,2.5,2.48,2.49,179018
OPN,20190218,0.034,0.034,0.034,0.034,662478
OPT,20190218,0.75,0.75,0.69,0.695,87283
ORA,20190218,3.27,3.28,3.08,3.12,8972392
ORE,20190218,3.09,3.12,3.04,3.07,1206487
ORG,20190218,7.62,7.69,7.6,7.67,4809139
ORI,20190218,18.4,18.4,18.15,18.21,572991
ORR,20190218,0.235,0.235,0.235,0.235,6558
OSH,20190218,8.25,8.32,8.16,8.16,3969127
OSL,20190218,0.165,0.17,0.165,0.17,258626
OSP,20190218,0.105,0.11,0.105,0.105,111156
OTW,20190218,5,5,4.93,4.94,42220
OVH,20190218,0.58,0.6,0.58,0.59,124126
OVL,20190218,0.003,0.003,0.003,0.003,95000
OVN,20190218,0.27,0.27,0.27,0.27,75139
OVT,20190218,0.18,0.18,0.165,0.17,311479
OZF,20190218,18.52,18.52,18.52,18.52,13
OZL,20190218,10.25,10.41,10.15,10.19,1205723
OZR,20190218,11.55,11.62,11.55,11.62,1462
P2P,20190218,0.435,0.435,0.435,0.435,1382
PAA,20190218,0.042,0.042,0.036,0.039,3097676
PAB,20190218,0.024,0.024,0.023,0.023,1406295
PAC,20190218,5.91,5.91,5.62,5.63,22274
PAF,20190218,1.08,1.08,1.08,1.08,28800
PAI,20190218,1.075,1.08,1.062,1.08,422035
PAK,20190218,0.035,0.035,0.035,0.035,2000
PAN,20190218,0.45,0.455,0.44,0.44,291003
PAR,20190218,1.15,1.16,1.13,1.14,152335
PBP,20190218,1.54,1.545,1.525,1.525,115337
PBT,20190218,0.04,0.042,0.04,0.04,151035
PBX,20190218,0.017,0.017,0.017,0.017,75757
PCG,20190218,2.3,2.3,2.29,2.3,26261
PCH,20190218,0.002,0.002,0.002,0.002,1300001
PCK,20190218,0.051,0.056,0.046,0.046,6401333
PCL,20190218,0.002,0.002,0.002,0.002,132286631
PDL,20190218,8.33,8.42,8.22,8.25,601848
PDN,20190218,0.195,0.2,0.192,0.195,1000847
PEA,20190218,0.64,0.64,0.625,0.625,180004
PEK,20190218,0.026,0.026,0.026,0.026,23565
PEN,20190218,0.2,0.2,0.2,0.2,67462
PET,20190218,0.385,0.39,0.37,0.37,152065
PEX,20190218,0.43,0.435,0.42,0.435,365099
PFP,20190218,2.97,2.97,2.91,2.91,20971
PGC,20190218,0.48,0.485,0.47,0.48,20686089
PGF,20190218,1.155,1.155,1.15,1.15,142525
PGH,20190218,3.09,3.13,3.05,3.07,1251362
PGI,20190218,0.029,0.03,0.028,0.03,187317
PGM,20190218,0.07,0.072,0.07,0.07,37291
PGX,20190218,0.44,0.445,0.435,0.435,94965
PIA,20190218,1.125,1.135,1.12,1.135,107680
PIC,20190218,1.08,1.085,1.075,1.075,263301
PIL,20190218,0.016,0.016,0.013,0.014,1283892
PIN,20190218,0.175,0.175,0.175,0.175,20000
PIO,20190218,0.016,0.017,0.016,0.016,462787
PIQ,20190218,0.39,0.39,0.375,0.375,43909
PKO,20190218,0.015,0.015,0.015,0.015,160022
PL8,20190218,1,1.015,0.995,0.995,445380
PLG,20190218,1.16,1.162,1.16,1.16,2336704
PLL,20190218,0.1,0.1,0.097,0.097,401431
PLS,20190218,0.67,0.672,0.66,0.67,2578787
PM1,20190218,0.014,0.014,0.014,0.014,1111495
PM8,20190218,0.019,0.021,0.019,0.02,16462684
PMC,20190218,1.72,1.72,1.665,1.68,168196
PME,20190218,14.14,14.94,14.14,14.44,166039
PMV,20190218,15.85,15.85,15.54,15.55,127555
PMY,20190218,0.005,0.005,0.005,0.005,120000
PNC,20190218,2.98,3.02,2.95,2.98,81074
PNI,20190218,4.7,4.95,4.66,4.9,296254
PNL,20190218,0.135,0.135,0.13,0.13,247878
PNR,20190218,0.235,0.24,0.235,0.235,397892
PNV,20190218,0.695,0.695,0.685,0.685,416053
PNX,20190218,0.006,0.006,0.006,0.006,333000
PO3,20190218,3.85,3.85,3.6,3.6,7662
POD,20190218,0.061,0.063,0.056,0.056,110599
POH,20190218,0.004,0.004,0.003,0.003,1477500
POS,20190218,0.039,0.04,0.039,0.039,585609
POW,20190218,0.014,0.014,0.013,0.013,1411291
PPC,20190218,1,1.025,0.99,1,5371
PPE,20190218,2.42,2.42,2.26,2.35,298752
PPG,20190218,0.195,0.195,0.185,0.185,736476
PPH,20190218,3.15,3.18,3.12,3.15,54827
PPK,20190218,0.77,0.8,0.745,0.75,126894
PPL,20190218,0.035,0.035,0.035,0.035,472940
PPS,20190218,0.64,0.645,0.632,0.645,928540
PPT,20190218,35.74,35.88,35.44,35.54,95431
PRL,20190218,0.004,0.004,0.004,0.004,13813745
PRT,20190218,0.24,0.245,0.24,0.245,21734
PRU,20190218,0.405,0.435,0.405,0.43,5409789
PRX,20190218,0.065,0.065,0.06,0.06,951797
PSA,20190218,0.11,0.11,0.097,0.11,324466
PSC,20190218,0.021,0.021,0.02,0.02,103098
PSI,20190218,2.64,2.65,2.61,2.63,31531
PSQ,20190218,1.4,1.4,1.38,1.38,5807
PTB,20190218,0.64,0.65,0.63,0.64,61822
PTM,20190218,5,5.05,4.89,4.89,1015646
PTR,20190218,0.038,0.038,0.038,0.038,30000
PTX,20190218,0.072,0.072,0.071,0.071,199569
PUA,20190218,0.04,0.04,0.037,0.037,130460
PUR,20190218,0.037,0.037,0.035,0.036,1818835
PVD,20190218,0.019,0.019,0.019,0.019,93334
PVL,20190218,0.058,0.058,0.05,0.05,123686
PVS,20190218,1.55,1.55,1.55,1.55,200
PWH,20190218,3.56,3.64,3.56,3.58,131022
PXS,20190218,0.255,0.265,0.255,0.26,129803
PXX,20190218,0.063,0.063,0.059,0.059,189081
PYC,20190218,0.028,0.028,0.027,0.027,890968
QAG,20190218,5.98,5.98,5.98,5.98,1254
QAN,20190218,5.76,5.765,5.71,5.73,3884852
QAU,20190218,13.5,13.54,13.45,13.52,23228
QBE,20190218,11.3,11.38,11.28,11.32,4888301
