5GN,20190218,0.62,0.62,0.58,0.58,49946
A2B,20190218,2.07,2.1,2.06,2.07,9344
A1C,20190218,0.17,0.175,0.17,0.175,5284
A2M,20190218,12.55,12.79,12.47,12.68,5333876
A3D,20190218,0.485,0.505,0.425,0.44,1173620
A40,20190218,0.18,0.19,0.18,0.19,249190
A4N,20190218,0.1,0.12,0.1,0.12,139537
88E,20190218,0.019,0.019,0.018,0.019,9178772
8CO,20190218,0.041,0.041,0.038,0.038,51742
9SP,20190218,0.013,0.013,0.013,0.013,76999
ABP,20190218,3.68,3.68,3.5,3.62,1342980
ABR,20190218,0.185,0.185,0.185,0.185,26700
ABT,20190218,0.155,0.17,0.15,0.17,24446
A1G,20190218,0.3,0.3,0.26,0.27,335475
AAA,20190218,50.11,50.12,50.11,50.115,75784
AAC,20190218,0.93,0.935,0.915,0.92,2102858
AAU,20190218,0.008,0.008,0.008,0.008,400000
AB1,20190218,0.09,0.09,0.09,0.09,106563
ABA,20190218,5.5,5.5,5.47,5.47,27247
ABC,20190218,4.95,4.98,4.87,4.94,1191127
